# GENERATED by benchmarks/scripts/paper.py -- do not edit.
# artifact:   fig_memory_vs_threads (figure)
# result set: current
# commit:     e9aa9c98a2c7
# host:       a2
# measured:   2026-08-01
# inputs:     sha256:78871f0f4db602c7
# provenance: paper/generated/PROVENANCE.md#fig_memory_vs_threads
benchmark	threads	peak_rss_gb
B01	1	2.581
B01	2	1.828
B01	4	1.896
B01	8	1.985
B01	16	2.072
B01	32	2.35
B01	64	2.827
B02	1	2.556
B02	2	1.949
B02	4	1.96
B02	8	1.987
B02	16	2.083
B02	32	2.339
B02	64	2.797
B03	1	2.537
B03	2	1.956
B03	4	1.992
B03	8	2.166
B03	16	2.543
B03	32	3.252
B03	64	4.269
B04	1	2.601
B04	2	1.929
B04	4	1.997
B04	8	2.182
B04	16	2.555
B04	32	6.091
B04	64	7.982
B05	1	2.654
B05	2	1.958
B05	4	1.962
B05	8	2.02
B05	16	2.154
B05	32	2.417
B05	64	3.08
cpp-shmap		18.851
